filename,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
Minneapolis_11052013_Mayor.csv,263897.0,125087.178,240754.0,7.6,65.0,6375.0,39857.0,241066.0,75185.0,51480.0,222453.0,1036.0,11647.0,28780.0,83922.0,948.0,399950.0,61918.0,36346.0,399950.0,399950.0,168385.0
Minneapolis_11062009_Mayor.csv,250683.0,112055.301,228833.0,9.5,81.0,6324.0,36719.0,238110.0,68190.0,47478.0,207205.0,632.0,11925.0,23870.0,75883.0,405.0,381833.0,56744.0,36443.0,381833.0,381833.0,168273.0
Minneapolis_11072017_Mayor.csv,280424.0,141463.0,256184.0,5.1,65.0,5943.0,40432.0,252180.0,89282.0,62583.0,243171.0,952.0,11876.0,30759.0,91094.0,740.0,420324.0,65579.0,34946.0,420324.0,420324.0,176974.0
Minnetonka_11022021_CityCouncilAtLargeSeatA.csv,39790.0,25011.0,30473.0,2.5,0.0,627.0,1750.0,44140.0,155963.0,114867.0,29703.0,119.0,391.0,4379.0,2966.0,0.0,53529.0,5579.0,2525.0,53529.0,53529.0,23402.0
Minnetonka_11022021_CityCouncilAtLargeSeatB.csv,39790.0,25011.0,30473.0,2.5,0.0,627.0,1750.0,44140.0,155963.0,114867.0,29703.0,119.0,391.0,4379.0,2966.0,0.0,53529.0,5579.0,2525.0,53529.0,53529.0,23402.0
Minnetonka_11022021_Mayor.csv,39790.0,25011.0,30473.0,2.5,0.0,627.0,1750.0,44140.0,155963.0,114867.0,29703.0,119.0,391.0,4379.0,2966.0,0.0,53529.0,5579.0,2525.0,53529.0,53529.0,23402.0
NewYorkCity_06222021_DEMComptrollerCitywide.csv,6126610.0,2463674.0,4445502.0,7.6,3332.0,99685.0,2503005.0,2687138.0,122667.0,76607.0,4108682.0,3940.0,128153.0,1387836.0,2280397.0,21421.0,8622467.0,3133149.0,1293408.0,8622467.0,8622467.0,3282804.0
NewYorkCity_06222021_DEMMayorCitywide.csv,6126610.0,2463674.0,4445502.0,7.6,3332.0,99685.0,2503005.0,2687138.0,122667.0,76607.0,4108682.0,3940.0,128153.0,1387836.0,2280397.0,21421.0,8622467.0,3133149.0,1293408.0,8622467.0,8622467.0,3282804.0
NewYorkCity_06222021_DEMPublicAdvocateCitywide.csv,6126610.0,2463674.0,4445502.0,7.6,3332.0,99685.0,2503005.0,2687138.0,122667.0,76607.0,4108682.0,3940.0,128153.0,1387836.0,2280397.0,21421.0,8622467.0,3133149.0,1293408.0,8622467.0,8622467.0,3282804.0
NewYorkCity_06222021_REPMayorCitywide.csv,6126610.0,2463674.0,4445502.0,7.6,3332.0,99685.0,2503005.0,2687138.0,122667.0,76607.0,4108682.0,3940.0,128153.0,1387836.0,2280397.0,21421.0,8622467.0,3133149.0,1293408.0,8622467.0,8622467.0,3282804.0
