filename,year,DP02_0001E,DP05_0068E,DP05_0069E,DP05_0062E,DP03_0034E,DP05_0033E,DP03_0062E,DP05_0073E,DP02_0037E,DP02_0059E,DP05_0071E,DP05_0065E,DP05_0072E,DP03_0064E,DP05_0063E,DP02_0067PE,DP02_0093E,DP02_0068E,DP03_0008E,DP02_0095E,DP03_0063E,DP02_0067E,DP02_0036E,DP03_0033E,DP05_0067E,DP02_0094E,DP05_0060E,DP05_0079E,DP03_0032E,DP05_0077E,DP05_0066E,DP05_0061E,DP03_0006E,DP05_0028E,DP05_0070E,DP02_0097E,DP02_0096E,DP02_0058E,DP03_0009PE,DP05_0001E
SanFrancisco_11052019_Mayor.csv,2019,361222,6942,,,,865933,126187,,8238,688969,133241,58264,,,,,,410052,540475,295398,178742,,,872,333357,,,,511902,339050,12302,,286,,865933,110408,,,5.3,865933
SanFrancisco_11062007_Mayor.csv,2007,324185,,,264367,925,,,,,,,797271,355969,100898,5477,(X),274632,,474594,104222,70040,,8240,443142,,,59098,,,,113107,8922,292,797271,,,,623699,(X),797271
SanFrancisco_11062018_AssessorRecorder.csv,2018,362141,6880,,,,874784,119136,,8262,696575,132865,57920,,,,,,409341,547090,299510,167663,,,806,335512,,,,521465,348449,10692,,273,,874784,110101,,,4.7,874784
SanFrancisco_11082005_AssessorRecorder.csv,2005,324185,,,264367,925,,,,,,,797271,355969,100898,5477,(X),274632,,474594,104222,70040,,8240,443142,,,59098,,,,113107,8922,292,797271,,,,623699,(X),797271
SanFrancisco_11082005_Treasurer.csv,2005,324185,,,264367,925,,,,,,,797271,355969,100898,5477,(X),274632,,474594,104222,70040,,8240,443142,,,59098,,,,113107,8922,292,797271,,,,623699,(X),797271
SanFrancisco_11082011_DistrictAttorney.csv,2011,345344,,,293485,,,75604,,,,,817501,341100,,6634,52.4,290752,,497993,112220,110208,,8350,1001,,,55821,,456845,,124167,9813,300,817501,,,,635411,8.3,817501
SanFrancisco_11082011_Mayor.csv,2011,345344,,,293485,,,75604,,,,,817501,341100,,6634,52.4,290752,,497993,112220,110208,,8350,1001,,,55821,,456845,,124167,9813,300,817501,,,,635411,8.3,817501
SanFrancisco_11082011_Sheriff.csv,2011,345344,,,293485,,,75604,,,,,817501,341100,,6634,52.4,290752,,497993,112220,110208,,8350,1001,,,55821,,456845,,124167,9813,300,817501,,,,635411,8.3,817501
SanFrancisco_11082022_DistrictAttorney.csv,2022,360842,12848,331359,,,851036,136689,131517,8097,680343,,,851036,,,,,406774,526058,288169,197408,,,846,58145,,,325900,497881,,,,388,,6945,107197,,,5.4,851036
SanFrancisco_11082022_PublicDefender.csv,2022,360842,12848,331359,,,851036,136689,131517,8097,680343,,,851036,,,,,406774,526058,288169,197408,,,846,58145,,,325900,497881,,,,388,,6945,107197,,,5.4,851036
SanLeandro_11022010_Mayor.csv,2010,30179,,,25910,,,62195,,,,,84966,22049,,1581,26.4,27677,,46210,12036,75190,,1183,29,,,13027,,40947,,23259,1745,84,84966,,,,59259,11.4,84966
SanLeandro_11042014_Mayor.csv,2014,31864,,,31268,,,64065,,,,,89039,21178,,1572,28.8,32110,,48407,13070,82542,,1239,137,,,12051,,45109,,24431,2287,41,89039,,,,63037,6.8,89039
SanLeandro_11062018_Mayor.csv,2018,31274,2346,,,,90489,86604,,954,66908,24074,11638,,,,,,21136,49633,32472,105070,,,187,34385,,,,47158,20561,2382,,57,,90489,12478,,,5.0,90489
SantaFe_03062018_Mayor.csv,2018,36096,323,,,,84418,57274,,826,61897,46166,1716,,,,,,26022,42874,11979,82310,,,358,1792,,,,40800,33693,2328,,138,,84418,8134,,,4.8,84418
Springville_11022021_Mayor.csv,2021,10258,387,588,,,35195,84699,5599,787,18789,,,35195,,,,,7419,16442,2441,99894,,,192,241,,,28073,15997,,,,17,,484,1340,,,2.7,35195
TakomaPark_11082022_Mayor.csv,2022,6898,330,1339,,,17542,95316,2147,361,11992,,,17542,,,,,7268,9789,5336,139050,,,23,6557,,,7391,9290,,,,0,,21,2544,,,5.1,17542
Vineyard_11022021_Mayor.csv,2021,4068,418,468,,,12663,94018,1740,317,6144,,,12663,,,,,2705,7573,1173,119268,,,53,328,,,9673,7434,,,,0,,407,721,,,1.8,12663
Vineyard_11052019_CityCouncil.csv,2019,3653,270,,,,11579,86355,,304,5514,1138,362,,,,,,2510,6332,857,104805,,,29,348,,,,6194,9440,107,,0,,11579,348,,,2.2,11579
WoodlandHills_11022021_Mayor.csv,2021,355,7,18,,,1329,130096,89,4,831,,,1329,,,,,403,610,26,162499,,,3,14,,,1219,596,,,,0,,10,7,,,2.3,1329
PierceCounty_11032009_CountyAuditor.csv,2009,297839,,,66591,,,58824,,,,,791528,560440,,15378,23.6,76096,,390057,35941,72808,,12267,2532,,,72917,,352720,,70279,23383,20098,791528,,,,513521,9.6,791528
PierceCounty_11042008_CountyAssessorTreasurer.csv,2008,295554,,,64284,,,57869,,,,,782681,558424,,14207,23.4,73334,,384870,35417,70845,,12189,2598,,,71669,,352708,,66909,23298,20611,782681,,,,506145,8.4,782681
PierceCounty_11042008_CountyExecutiveMember.csv,2008,295554,,,64284,,,57869,,,,,782681,558424,,14207,23.4,73334,,384870,35417,70845,,12189,2598,,,71669,,352708,,66909,23298,20611,782681,,,,506145,8.4,782681
SanFrancisco_06052018_Mayor.csv,2018,362141,6880,,,,874784,119136,,8262,696575,132865,57920,,,,,,409341,547090,299510,167663,,,806,335512,,,,521465,348449,10692,,273,,874784,110101,,,4.7,874784
SanFrancisco_11032015_Mayor.csv,2015,358772,6453,,,,864263,96265,,,,131949,55436,,,,55.8,300542,,534016,112504,137761,,8654,1124,322008,,,,504914,353000,10020,,415,,864263,,,683074,5.4,864263
Portland_06142022_Schoolboarddistrict5-1.csv,2022,283896,17509,72055,,,646101,85876,66368,5751,487190,,,646101,,,,,256001,389536,81652,117687,,,2082,51313,,,441135,367733,,,,186,,6938,34439,,,5.6,646101
Portland_11082022_SchoolBoardDistrict3.csv,2022,283896,17509,72055,,,646101,85876,66368,5751,487190,,,646101,,,,,256001,389536,81652,117687,,,2082,51313,,,441135,367733,,,,186,,6938,34439,,,5.6,646101
SanFrancisco_11032015_Sheriff.csv,2015,358772,6453,,,,864263,96265,,,,131949,55436,,,,55.8,300542,,534016,112504,137761,,8654,1124,322008,,,,504914,353000,10020,,415,,864263,,,683074,5.4,864263
Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.csv,2020,264376,148814,65609,,,734821,86370,54890,10454,485871,,,734821,,,,,149397,362197,58074,110602,,,16466,38219,,,428802,339162,,,,20881,,17026,22723,,,6.4,734821
Alaska_08162022_HouseofRepresentativesSpecial.csv,2022,264376,148814,65609,,,734821,86370,54890,10454,485871,,,734821,,,,,149397,362197,58074,110602,,,16466,38219,,,428802,339162,,,,20881,,17026,22723,,,6.4,734821
Alaska_11082022_GovernorLieutenantGovernor.csv,2022,264376,148814,65609,,,734821,86370,54890,10454,485871,,,734821,,,,,149397,362197,58074,110602,,,16466,38219,,,428802,339162,,,,20881,,17026,22723,,,6.4,734821
Alaska_11082022_USRepresentative.csv,2022,264376,148814,65609,,,734821,86370,54890,10454,485871,,,734821,,,,,149397,362197,58074,110602,,,16466,38219,,,428802,339162,,,,20881,,17026,22723,,,6.4,734821
Alaska_11082022_USSenator.csv,2022,264376,148814,65609,,,734821,86370,54890,10454,485871,,,734821,,,,,149397,362197,58074,110602,,,16466,38219,,,428802,339162,,,,20881,,17026,22723,,,6.4,734821
